Référence,Auteurs,anneecreation,titre,Date_acquisition,Entrée_base,Ecole_pays,Identifiant_Museofile,Nom_officiel_musée,genre,Sujet_représenté,Statut_juridique,Mode_acquisition_simplifié,Mode_acquisition,Ville,Région,latitude,Longitude,largeur,hauteur,techniques,support,genre_simplifie,image,image_Bool,datenaissance,anneenaissance,datemort,anneemort,nationalité,lieunaissance,lieumort,mouvement
000PE000015,ANDRE Albert,1890,"L'Escalier Daru, au Louvre",1951,1999,France,M5031,musée du Louvre,intérieur,"vue d'intérieur (escalier, musée, Paris, amateur d'art)",propriété de l'État,don,don,Paris,Ile-de-France,48.8589,2.3469,81,100,peinture à l'huile,bois,Intérieur,,False,1869-05-24,1869,1954-07-11,1954,France,Lyon,Laudun-l'Ardoise,postimpressionnisme
000PE000244,BRAQUE Georges,1953,Les Oiseaux,1953,1999,France,M5031,musée du Louvre,Non renseigné,représentation animalière (oiseau);étoile;lune,propriété de l'État,achat,achat après commande,Paris,Ile-de-France,48.8589,2.3469,505,346,Non renseigné,Non renseigné,Non renseigné,,False,1882-05-13,1882,1963-08-31,1963,France,Argenteuil,Paris,cubisme
000PE001126,DURANDEAU Antoine Auguste,1918,Intérieur de la nef des Jacobins de Toulouse en 1918,1941,1999,France,M5031,musée du Louvre,Non renseigné,"vue d'intérieur (église, Toulouse, wagon)",propriété de l'État,don,legs,Paris,Ile-de-France,48.8589,2.3469,65,50,peinture à l'huile,bois,Non renseigné,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
000PE001127,DURANDEAU Antoine Auguste,1918,Intérieur de l'église des Jacobins de Toulouse en 1918,1933,1999,France,M5031,musée du Louvre,Non renseigné,"vue d'intérieur (église, Toulouse)",propriété de l'État,don,don,Paris,Ile-de-France,48.8589,2.3469,47,32,peinture à l'huile,carton toile,Non renseigné,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
000PE001348,GRASSET Frédéric,1911,"Vue de la galerie d'Apollon, au Louvre",1969,1999,France,M5031,musée du Louvre,Non renseigné,"vue d'intérieur (musée : salle, Paris, mobilier, statue, amateur d'art)",propriété de l'État,don,don,Paris,Ile-de-France,48.8589,2.3469,55,46,peinture à l'huile,bois,Non renseigné,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
000PE001506,HUGUES Paul,1946,"Vue du musée Charles X, au Louvre",,1999,France,M5031,musée du Louvre,Non renseigné,"vue d'intérieur (galerie, musée, Paris, peinture, statue)",propriété de l'État,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,38,46,peinture à l'huile,bois,Non renseigné,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
000PE001507,HUGUES Paul,1946,"Palier de l'escalier du musée Charles X, au Louvre",,1999,France,M5031,musée du Louvre,Non renseigné,"vue d'intérieur (musée, Paris, colonne, sculpture)",propriété de l'État,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,38,46,peinture à l'huile,bois,Non renseigné,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
000PE001508,HUGUES Paul,1950,Vue des salles de sculpture française du XVIIe siècle au Louvre,,1999,France,M5031,musée du Louvre,Non renseigné,"vue d'intérieur (musée, Paris, statue, sculpture)",propriété de l'État,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,37,46,peinture à l'huile,bois,Non renseigné,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
000PE001587,JAMOT Paul,1916,Vue intérieure de l'église des Jacobins de Toulouse en 1916,1941,1999,France,M5031,musée du Louvre,Non renseigné,"vue d'intérieur (église, Toulouse, colonnade, automobile, drapeau)",propriété de l'État,don,legs,Paris,Ile-de-France,48.8589,2.3469,32,41,peinture à l'huile,bois,Non renseigné,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
000PE001595,JAMOT Paul,1918,Vue intérieure de l'église des Jacobins de Toulouse en 1918,1941,1999,France,M5031,musée du Louvre,Non renseigné,"vue d'intérieur (église, Toulouse, pilier, sculpture)",propriété de l'État,don,legs,Paris,Ile-de-France,48.8589,2.3469,27,41,peinture à l'huile,bois,Non renseigné,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
000PE001847,LEROUX Georges,1947,Vue de la Grande Galerie du Louvre,1974,1999,France,M5031,musée du Louvre,intérieur,"vue d'intérieur (musée, Paris, peinture, personnage)",propriété de l'État,don,don,Paris,Ile-de-France,48.8589,2.3469,151,89,peinture à l'huile,Non renseigné,Intérieur,,False,1877-08-03,1877,1957-02-16,1957,France,Paris,Meudon,Non renseigné
000PE002261,PRUVOST Rose Marie,1948,Vue de la galerie Mollien au musée du Louvre,1948,1999,France,M5031,musée du Louvre,intérieur,"vue d'intérieur (galerie, musée, Paris, statue, escalier, arcade)",propriété de l'État,don,don,Paris,Ile-de-France,48.8589,2.3469,46,38,peinture à l'huile,bois,Intérieur,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
000PE003236,Anonyme,1910,Vue de la salle Duchâtel et du Salon carré au Louvre,1949,1999,France,M5031,musée du Louvre,intérieur,"vue d'intérieur (musée : salle, Paris, peinture, homme, siège)",propriété de l'État,don,don,Paris,Ile-de-France,48.8589,2.3469,61,46,peinture à l'huile,bois,Intérieur,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
000PE013393,FORAIN Jean-Louis,1900,Scène de tribunal,1961,1999,France,M5031,musée du Louvre,Non renseigné,"scène (jugement, palais de justice : intérieur, juge, femme, nourrisson)",propriété de l'État,don,donation,Paris,Ile-de-France,48.8589,2.3469,91,73,peinture à l'huile,bois,Non renseigné,,False,1852-10-23,1852,1931-07-11,1931,France,Reims,Paris,Non renseigné
