nomcreateur,datenaissance,datemort,nationalité,lieunaissance,lieumort,mouvement
Jean-Baptiste Pater,1695-12-29T00:00:00Z,1736-07-25T00:00:00Z,France,Valenciennes,Paris,
Leon Dabo,1864-07-09T00:00:00Z,1960-11-07T00:00:00Z,"États-Unis,France",Paris,Manhattan,
Pierre Carrier-Belleuse,1851-01-29T00:00:00Z,1932-01-29T00:00:00Z,France,Paris,Paris,art académique
Constantin Guys,1802-12-03T00:00:00Z,1892-03-13T00:00:00Z,France,Flessingue,Paris,
Antoine Desboeufs,1793-10-13T00:00:00Z,1862-07-12T00:00:00Z,France,Paris,Paris,
Achille Valois,1785-01-12T00:00:00Z,1862-11-17T00:00:00Z,France,Paris,Paris,
Charles Denet,1853-02-10T00:00:00Z,1939-05-20T00:00:00Z,France,Évreux,Paris,
Anna Boberg,,,Suède,,,
Jacopo Bellini,1400-01-01T00:00:00Z,1470-01-01T00:00:00Z,république de Venise,Venise,Venise,Renaissance
Jacques Courtois,1621-02-12T00:00:00Z,1676-11-14T00:00:00Z,"comté de Bourgogne,comté de Bourgogne",Saint-Hippolyte,Rome,
Sebastiano Luciani,1485-01-01T00:00:00Z,1547-07-01T00:00:00Z,"république de Venise,république de Venise",Venise,Rome,maniérisme
Quinten Massijs,1466-05-05T00:00:00Z,1530-01-01T00:00:00Z,"Pays-Bas méridionaux,Pays-Bas méridionaux",Louvain,Anvers,Primitif flamand
Benozzo Gozzoli,1420-01-01T00:00:00Z,1497-10-04T00:00:00Z,Florence,Florence,Pistoie,Renaissance italienne
Étienne Allegrain,1644-01-01T00:00:00Z,1736-04-02T00:00:00Z,France,Paris,Paris,
Antoine-Louis Barye,1795-09-24T00:00:00Z,1875-06-25T00:00:00Z,France,Paris,4e arrondissement de Paris,
Henri Gervex,1852-12-10T00:00:00Z,1929-06-07T00:00:00Z,"France,France",Montmartre,17e arrondissement de Paris,
Jean-Baptiste de Champaigne,1631-12-10T00:00:00Z,1681-10-27T00:00:00Z,France,Bruxelles,Paris,
Gervais Drouet,,,France,,,
Charles Müller,1815-12-28T00:00:00Z,1892-01-09T00:00:00Z,France,Paris,Paris,art académique
Charles Jacque,1813-05-23T00:00:00Z,1894-05-07T00:00:00Z,France,Paris,boulevard de Clichy,
Claude Joseph Vernet,1714-08-14T00:00:00Z,1789-12-03T00:00:00Z,France,Avignon,Paris,
