nomcreateur,datenaissance,datemort,nationalité,lieunaissance,lieumort,mouvement
Henri-Horace Roland Delaporte,1724-01-01T00:00:00Z,1793-11-23T00:00:00Z,France,Paris,Paris,
Jean-Bernard Restout,1732-02-22T00:00:00Z,1797-07-18T00:00:00Z,royaume de France,Paris,Paris,
Jules Lefebvre,1834-03-14T00:00:00Z,1912-02-24T00:00:00Z,Français,Tournan-en-Brie,9e arrondissement de Paris,art académique
Jean-Baptiste Pigalle,1714-01-26T00:00:00Z,1785-08-20T00:00:00Z,France,Rueil-Malmaison,Paris,néo-classicisme
Jules-Élie Delaunay,1828-06-13T00:00:00Z,1891-09-05T00:00:00Z,France,Nantes,Paris,
Louis Léopold Boilly,1761-07-05T00:00:00Z,1845-01-04T00:00:00Z,France,La Bassée,Paris,
Léon Riesener,1808-01-21T00:00:00Z,1878-05-25T00:00:00Z,France,Paris,Paris,romantisme
Charles Paul Landon,1761-10-12T00:00:00Z,1826-03-05T00:00:00Z,France,Nonant-le-Pin,Paris,
Jean Bouchaud,1891-10-29T00:00:00Z,1977-05-06T00:00:00Z,France,Saint-Herblain,Nantes,orientalisme
Augustin-Louis Belle,1757-01-01T00:00:00Z,1841-01-12T00:00:00Z,France,Paris,Paris,
Charles François Lacroix de Marseille,1700-01-01T00:00:00Z,1782-11-01T00:00:00Z,France,Marseille,Berlin,
Martin Ferdinand Quadal,1736-10-28T00:00:00Z,1811-01-01T00:00:00Z,Autriche,Němčičky,Saint-Pétersbourg,
Alexis Bafcop,1804-11-06T00:00:00Z,1895-02-09T00:00:00Z,France,Cassel,Cassel,
Albrecht Dürer,1471-05-30T00:00:00Z,1528-04-16T00:00:00Z,Duché de Bavière,Nuremberg,Nuremberg,Renaissance allemande
Alexandre Bloch,1857-05-29T00:00:00Z,1919-11-11T00:00:00Z,France,Paris,20e arrondissement de Paris,
Pierre-Félix Masseau,1869-03-17T00:00:00Z,1937-04-16T00:00:00Z,France,Lyon,9e arrondissement de Paris,
